date,price
2002-01-02,1185.75
2002-01-03,1195.9301
2002-01-04,1203.38
2002-01-07,1188.95
2002-01-08,1168.01
2002-01-09,1148.13
2002-01-10,1152.04
2002-01-11,1154.16
2002-01-14,1140.3199
2002-01-15,1140.8
2002-01-16,1137.96
2002-01-17,1145.41
2002-01-18,1142.21
2002-01-21,1143.52
2002-01-22,1143.87
2002-01-23,1143.63
2002-01-24,1157.71
2002-01-25,1154.87
2002-01-28,1152.15
2002-01-29,1155.11
2002-01-30,1149.3101
2002-01-31,1153.1
2002-02-01,1156.77
2002-02-04,1150.73
2002-02-05,1136.89
2002-02-06,1133.1
2002-02-07,1132.39
2002-02-08,1129.79
2002-02-11,1124.59
2002-02-12,1127.9
2002-02-13,1138.55
2002-02-14,1142.21
2002-02-15,1144.11
2002-02-18,1145.41
2002-02-19,1133.46
2002-02-20,1122.22
2002-02-21,1127.78
2002-02-22,1125.65
2002-02-25,1136.1801
2002-02-26,1137.84
2002-02-27,1138.4301
2002-02-28,1144.46
2002-03-01,1156.77
2002-03-04,1179.96
2002-03-05,1179.48
2002-03-06,1190.37
2002-03-07,1201.25
2002-03-08,1203.03
2002-03-11,1191.67
2002-03-12,1181.38
2002-03-13,1185.75
2002-03-14,1181.73
2002-03-15,1187.77
2002-03-18,1189.0699
2002-03-19,1181.14
2002-03-20,1178.77
2002-03-21,1193.21
2002-03-22,1189.42
2002-03-25,1181.97
2002-03-26,1182.3199
2002-03-27,1159.13
2002-03-28,1163.63
2002-04-01,1151.33
2002-04-02,1139.97
2002-04-03,1146.36
2002-04-04,1150.26
2002-04-05,1151.8
2002-04-08,1146.36
2002-04-09,1154.64
2002-04-10,1156.0601
2002-04-11,1149.3101
2002-04-12,1146.47
2002-04-15,1139.38
2002-04-16,1153.6899
2002-04-17,1152.74
2002-04-18,1147.42
2002-04-19,1150.73
2002-04-22,1144.23
2002-04-23,1139.49
2002-04-25,1129.67
2002-04-26,1130.62
2002-04-29,1127.0699
2002-04-30,1137.84
2002-05-02,1141.86
2002-05-03,1140.91
2002-05-06,1142.1
2002-05-07,1143.4
2002-05-08,1148.96
2002-05-09,1145.88
2002-05-10,1141.74
2002-05-13,1136.89
2002-05-14,1134.52
2002-05-15,1129.2
2002-05-16,1137.13
2002-05-17,1138.4301
2002-05-20,1139.61
2002-05-22,1131.92
2002-05-23,1123.76
2002-05-24,1125.89
2002-05-28,1113.11
2002-05-29,1101.28
2002-05-30,1098.3199
2002-05-31,1099.74
2002-06-03,1090.04
2002-06-04,1080.34
2002-06-05,1076.67
2002-06-06,1069.8101
2002-06-07,1079.03
2002-06-10,1078.3199
2002-06-11,1062.23
2002-06-12,1053.83
2002-06-13,1056.67
2002-06-14,1063.54
2002-06-17,1077.5
2002-06-18,1076.4301
2002-06-19,1067.3199
2002-06-20,1055.49
2002-06-21,1042
2002-06-24,1050.64
2002-06-25,1050.88
2002-06-26,1031.47
2002-06-27,1033.36
2002-06-28,1031.95
2002-07-01,1027.6899
2002-07-02,1024.02
2002-07-03,1004.26
2002-07-04,1008.99
2002-07-05,1015.5
2002-07-08,1008.05
2002-07-09,1002.48
2002-07-10,986.04
2002-07-11,976.46
2002-07-12,981.9
2002-07-15,962.02
2002-07-16,953.15
2002-07-17,952.56
2002-07-18,967.23
2002-07-19,968.17
2002-07-22,950.66
2002-07-23,944.75
2002-07-24,963.8
2002-07-25,957.05
2002-07-26,974.33
2002-07-29,1002.13
2002-07-30,1030.29
2002-07-31,1039.64
2002-08-01,1021.77
2002-08-02,1021.3
2002-08-05,1001.3
2002-08-06,1019.64
2002-08-07,1045.4301
2002-08-08,1070.75
2002-08-09,1052.1801
2002-08-12,1043.78
2002-08-13,1041.0601
2002-08-14,1052.65
2002-08-16,1057.38
2002-08-19,1055.61
2002-08-20,1037.27
2002-08-21,1035.38
2002-08-22,1043.66
2002-08-23,1042
2002-08-26,1041.29
2002-08-27,1030.17
2002-08-28,1015.03
2002-08-29,1020.47
2002-08-30,1022.36
2002-09-02,1015.26
2002-09-03,1006.15
2002-09-04,1007.69
2002-09-05,991.36
2002-09-06,997.04
2002-09-09,1004.85
2002-09-10,1008.52
2002-09-11,1015.5
2002-09-12,1002.25
2002-09-13,996.1
2002-09-16,987.22
2002-09-17,985.57
2002-09-20,965.81
2002-09-23,948.65
2002-09-24,933.03
2002-09-25,942.62
2002-09-26,946.64
2002-09-27,937.17
2002-09-30,927.47
2002-10-01,943.09
2002-10-02,931.97
2002-10-03,935.4
2002-10-04,951.37
2002-10-07,925.34
2002-10-08,918.01
2002-10-09,894.82
2002-10-10,902.98
2002-10-11,910.32
2002-10-14,906.18
2002-10-15,899.67
2002-10-16,885.71
2002-10-17,898.6
2002-10-18,918.84
2002-10-21,917.18
2002-10-22,912.92
2002-10-23,916.47
2002-10-24,926.64
2002-10-25,930.19
2002-10-28,936.46
2002-10-29,932.92
2002-10-30,948.41
2002-10-31,958.59
2002-11-04,962.85
2002-11-05,971.01
2002-11-06,973.26
2002-11-07,956.11
2002-11-08,949.83
2002-11-11,942.03
2002-11-12,942.03
2002-11-13,948.41
2002-11-14,966.28
2002-11-15,974.44
2002-11-18,973.26
2002-11-19,966.04
2002-11-20,961.19
2002-11-21,965.93
2002-11-22,966.64
2002-11-25,954.09
2002-11-26,944.51
2002-11-27,950.07
2002-11-28,954.45
2002-11-29,960.36
2002-12-02,959.18
2002-12-03,958
2002-12-04,954.45
2002-12-05,959.65
2002-12-06,971.13
2002-12-09,962.38
2002-12-10,960.6
2002-12-11,966.04
2002-12-12,964.62
2002-12-13,965.33
2002-12-16,967.82
2002-12-17,974.56
2002-12-18,994.79
2002-12-19,1006.27
2002-12-20,1004.85
2002-12-23,1007.34
2002-12-24,996.1
2002-12-26,996.92
2002-12-27,998.23
2002-12-30,1000
2003-01-02,999.51
2003-01-03,1008.46
2003-01-06,1020.19
2003-01-07,1014.98
2003-01-08,1005.77
2003-01-09,1021.23
2003-01-10,1030.2
2003-01-13,1030.85
2003-01-14,1035.6801
2003-01-15,1028.47
2003-01-16,1018.85
2003-01-17,1012.91
2003-01-20,1017.96
2003-01-21,1006.29
2003-01-22,1004.04
2003-01-23,1003.89
2003-01-24,994
2003-01-27,982.17
2003-01-28,988.65
2003-01-29,984.43
2003-01-30,989.55
2003-01-31,1001.99
2003-02-03,1003.84
2003-02-04,1004.77
2003-02-05,1013.35
2003-02-06,1010.52
2003-02-07,1015.24
2003-02-10,1013.89
2003-02-11,1015.24
2003-02-12,1017.42
2003-02-13,1012.79
2003-02-14,1011.29
2003-02-17,1012.14
2003-02-18,1009.84
2003-02-19,1004.16
2003-02-20,1005.54
2003-02-21,1008.27
2003-02-24,998.64
2003-02-25,998.47
2003-02-26,998.63
2003-02-27,1007.13
2003-02-28,1014.94
2003-03-03,1013.78
2003-03-04,1013.39
2003-03-05,1013.38
2003-03-06,1024.39
2003-03-07,1035.26
2003-03-10,1019.96
2003-03-11,1012.79
2003-03-12,1018.72
2003-03-13,1019.18
2003-03-14,1017.52
2003-03-17,1014.05
2003-03-18,1015.07
2003-03-19,1017.13
2003-03-20,1023.22
2003-03-21,1022.98
2003-03-24,1012.22
2003-03-25,1011.27
2003-03-26,1007.9
2003-03-27,1003.92
2003-03-28,1009.34
2003-03-31,1009.13
2003-04-01,1006.93
2003-04-02,1013.12
2003-04-03,1016.43
2003-04-04,1018.79
2003-04-07,1026.47
2003-04-08,1025.55
2003-04-09,1031.89
2003-04-10,1043.98
2003-04-11,1052.4
2003-04-14,1063.6
2003-04-15,1068.6
2003-04-16,1075.03
2003-04-17,1086.48
2003-04-21,1089.38
2003-04-22,1083.28
2003-04-23,1103.15
2003-04-24,1109.59
2003-04-25,1109.6899
2003-04-28,1114.79
2003-04-29,1138.79
2003-04-30,1163.96
2003-05-02,1184.1801
2003-05-05,1192.48
2003-05-06,1176.75
2003-05-07,1181.65
2003-05-08,1178.27
2003-05-09,1200.8199
2003-05-12,1209.1
2003-05-13,1224.78
2003-05-14,1225.03
2003-05-15,1228.37
2003-05-16,1206.53
2003-05-19,1177.36
2003-05-20,1160.38
2003-05-22,1193.09
2003-05-23,1197.0601
2003-05-26,1202.29
2003-05-27,1205.09
2003-05-28,1224.38
2003-05-29,1229.8199
2003-05-30,1231.01
2003-06-02,1242.04
2003-06-03,1240.24
2003-06-04,1247.1899
2003-06-05,1257.58
2003-06-06,1270.85
2003-06-09,1273.8101
2003-06-10,1275.0601
2003-06-11,1273.53
2003-06-12,1280.3101
2003-06-13,1277.89
2003-06-17,1282.59
2003-06-18,1263.92
2003-06-19,1253.5699
2003-06-20,1245.38
2003-06-23,1225.51
2003-06-24,1213.2
2003-06-25,1224.17
2003-06-26,1214.84
2003-06-27,1228.08
2003-06-30,1228.12
2003-07-01,1253.98
2003-07-02,1261.9
2003-07-03,1257.0699
2003-07-04,1258.38
2003-07-07,1262.9301
2003-07-08,1264.37
2003-07-09,1253.13
2003-07-10,1242.5601
2003-07-11,1256.7
2003-07-14,1254.38
2003-07-15,1253.15
2003-07-16,1247.33
2003-07-17,1238.74
2003-07-18,1248.75
2003-07-21,1246.35
2003-07-22,1263.4
2003-07-23,1275.8101
2003-07-24,1278.98
2003-07-25,1301.84
2003-07-28,1300.12
2003-07-29,1302.26
2003-07-30,1306.33
2003-07-31,1321.38
2003-08-01,1333.51
2003-08-04,1319.24
2003-08-05,1308.6899
2003-08-06,1323.28
2003-08-07,1326.99
2003-08-08,1335.45
2003-08-11,1347.03
2003-08-12,1357.63
2003-08-13,1373.53
2003-08-14,1398.51
2003-08-18,1401.7
2003-08-19,1395.24
2003-08-20,1398.6801
2003-08-21,1389.71
2003-08-22,1367.35
2003-08-25,1354.34
2003-08-26,1343.39
2003-08-27,1363.48
2003-08-28,1368.03
2003-08-29,1369.62
2003-09-01,1370.21
2003-09-02,1363.8199
2003-09-03,1363.47
2003-09-04,1348.49
2003-09-05,1354.45
2003-09-08,1368.36
2003-09-09,1372.6899
2003-09-10,1372.1801
2003-09-11,1380.7
2003-09-12,1364.71
2003-09-15,1358.63
2003-09-16,1366.55
2003-09-17,1370.04
2003-09-22,1359.1801
